targetid,z,zwarn,coadd_fiberstatus,spectype,mean_fiber_ra,mean_fiber_dec
39633402705478079,0.4423391455062534,0,0,GALAXY,272.12122,61.272926
39633402701285076,0.32393697306698177,0,0,GALAXY,271.73682,61.296215
39633405607937304,0.32835541411949315,0,0,GALAXY,272.47208,61.465584
39633405607938887,0.3273044512067779,0,0,GALAXY,272.6338,61.49889
39633405607938614,0.4330475624421196,0,0,GALAXY,272.60468,61.578617
39633411354132737,0.3167246672504597,0,0,GALAXY,273.20706,61.975437
39633408493617707,0.44273384217340617,0,0,GALAXY,272.95404,61.83897
39633411349941372,0.31781053414289356,0,0,GALAXY,272.99136,61.962883
39633408493617300,0.4196703635478138,0,0,GALAXY,272.90335,61.736214
39633408489426220,0.44147839198425504,0,0,GALAXY,272.69257,61.761177
39633408489426052,0.44135988718395625,0,0,GALAXY,272.6772,61.765
39633408489425829,0.4201245862480536,0,0,GALAXY,272.65436,61.73391
39633411345747605,0.45546588988349324,0,0,GALAXY,272.52722,61.92102
39633402701288118,0.39519801445931446,0,0,GALAXY,272.06754,61.370785
39633408489423411,0.33256898868359347,0,0,GALAXY,272.4125,61.639446
39633405603746360,0.4325997520621468,0,0,GALAXY,272.3009,61.621853
39633408485232834,0.46606793158602616,0,0,GALAXY,272.25635,61.69852
39633408485232624,0.354495036751129,0,0,GALAXY,272.23526,61.73646
39633408485231938,0.43210789940500804,0,0,GALAXY,272.17133,61.66146
39633405603745151,0.46814505575739007,0,0,GALAXY,272.17227,61.551155
39633408485232210,0.4327623812619114,0,0,GALAXY,272.19757,61.750248
39633408485232297,0.41983489535220875,0,0,GALAXY,272.2043,61.6255
39633408485232542,0.43128150646822805,0,0,GALAXY,272.22772,61.639263
39633408485232407,0.333166510121294,0,0,GALAXY,272.21255,61.65315
39633402701287554,0.37914594915209276,0,0,GALAXY,272.00177,61.334625
39633408485233356,0.43074818696422135,0,0,GALAXY,272.3087,61.84116
39633402701287510,0.44343708722916675,0,0,GALAXY,271.99658,61.36478
39633411345747078,0.45931726185303623,0,0,GALAXY,272.46783,61.92934
39633405603742677,0.44413389428497685,0,0,GALAXY,271.91666,61.39925
39633411345746870,0.43728083501143616,0,0,GALAXY,272.44504,61.993176
39633405603743147,0.31276040695848206,0,0,GALAXY,271.96503,61.448925
39633411345746152,0.3190054650163636,0,0,GALAXY,272.35794,61.93583
39633411345746501,0.2744039317649587,0,0,GALAXY,272.4012,61.958393
39633402701285582,0.45589156341179227,0,0,GALAXY,271.78656,61.32981
39633402701285357,0.4570263661838609,0,0,GALAXY,271.7637,61.338135
39633402701284654,0.46409325057127326,0,0,GALAXY,271.69037,61.371002
39633405603743856,0.43204445355267856,0,0,GALAXY,272.035,61.512787
39633408485230812,0.4218355474499367,0,0,GALAXY,272.06378,61.688473
39633408485229921,0.42168082407617746,0,0,GALAXY,271.97763,61.69804
39633405603743812,0.46475568246301924,0,0,GALAXY,272.02954,61.55878
39633405603742347,0.4210635217227633,0,0,GALAXY,271.88712,61.596535
39633405599551155,0.4273915302647205,0,0,GALAXY,271.70575,61.49834
